site,test_loss
"(-12.5, -100)",2.026394486683212
"(-12.5, -120)",2.2372255539793082
"(-12.5, -140)",2.912300359439026
"(-12.5, -160)",3.121177330541822
"(-12.5, -180)",2.748037483745037
"(-12.5, -20)",2.1311165400780214
"(-12.5, -40)",2.4645928007290108
"(-12.5, -60)",2.2028367803997737
"(-12.5, -80)",2.2959228262668416
"(-12.5, 0)",2.0579165743802417
"(-12.5, 100)",2.6584340186322954
"(-12.5, 120)",2.2746915318899377
"(-12.5, 140)",2.2283608452958035
"(-12.5, 160)",2.2609367143848704
"(-12.5, 180)",2.7447991978073345
"(-12.5, 20)",2.001393986734646
"(-12.5, 40)",1.8270096166298386
"(-12.5, 60)",2.2361633655428825
"(-12.5, 80)",2.363423588950538
"(-25.0, -100)",2.2462204997782527
"(-25.0, -120)",2.0169943435663993
"(-25.0, -140)",2.323730788701201
"(-25.0, -160)",2.147706575292889
"(-25.0, -180)",1.6911197870358168
"(-25.0, -20)",1.5741588262767108
"(-25.0, -40)",2.3227462219391253
"(-25.0, -60)",2.567866876656509
"(-25.0, -80)",2.529604179623862
"(-25.0, 0)",1.2382796372911058
"(-25.0, 100)",1.4848388005977133
"(-25.0, 120)",1.3878980171677027
"(-25.0, 140)",1.4710658370749092
"(-25.0, 160)",1.4914907073699089
"(-25.0, 180)",1.6752587815035982
"(-25.0, 20)",1.3787164080590164
"(-25.0, 40)",1.4119908528930625
"(-25.0, 60)",1.2728098176215394
"(-25.0, 80)",1.4753681064276658
"(-37.5, -100)",1.6021291492695298
"(-37.5, -120)",1.272347396743315
"(-37.5, -140)",1.3267485697498904
"(-37.5, -160)",1.2453254687713764
"(-37.5, -180)",1.1631627546067274
"(-37.5, -20)",1.030785544353235
"(-37.5, -40)",1.6906831280032155
"(-37.5, -60)",1.9521456397924393
"(-37.5, -80)",2.048188514748228
"(-37.5, 0)",1.051123269824405
"(-37.5, 100)",0.8492773620125962
"(-37.5, 120)",0.8208333637694162
"(-37.5, 140)",1.0289381137698284
"(-37.5, 160)",1.0856447702506786
"(-37.5, 180)",1.1571680389513266
"(-37.5, 20)",1.181195066042948
"(-37.5, 40)",1.2506854912072538
"(-37.5, 60)",1.3371868263925357
"(-37.5, 80)",1.1017985335592506
"(-50.0, -100)",1.2588736572713735
"(-50.0, -120)",0.9941346384488752
"(-50.0, -140)",0.8049806482308559
"(-50.0, -160)",0.8903258713288833
"(-50.0, -180)",1.1027963513417716
"(-50.0, -20)",0.9360624342082713
"(-50.0, -40)",1.2804747099238263
"(-50.0, -60)",1.5132525822142087
"(-50.0, -80)",1.4053858030657556
"(-50.0, 0)",0.9437956845314333
"(-50.0, 100)",0.9360194757806062
"(-50.0, 120)",0.9993548346884016
"(-50.0, 140)",0.8725601392225593
"(-50.0, 160)",0.9261727045762044
