site,test_loss
"(25.0, -140)",1.8322061953846922
"(25.0, -160)",2.423902483111515
"(25.0, -180)",2.421952528401961
"(25.0, -20)",2.2516885513498766
"(25.0, -40)",1.7974849006553772
"(25.0, -60)",1.6651633760650664
"(25.0, -80)",1.5335566405770265
"(25.0, 0)",1.910083705829018
"(25.0, 100)",2.4587972348974625
"(25.0, 120)",2.421379140818506
"(25.0, 140)",2.1387461279177664
"(25.0, 160)",1.9698826630921773
"(25.0, 180)",2.337160534817842
"(25.0, 20)",1.8823859585870735
"(25.0, 40)",1.641349995318203
"(25.0, 60)",1.9872443436568117
"(25.0, 80)",2.487508916353002
"(37.5, -100)",1.1501699934725877
"(37.5, -120)",1.1917489720854655
"(37.5, -140)",1.3435834162474962
"(37.5, -160)",1.5108021125290652
"(37.5, -180)",1.3762405591464186
"(37.5, -20)",1.372056464029867
"(37.5, -40)",1.1943084685500647
"(37.5, -60)",1.0915840498086828
"(37.5, -80)",1.0774498250575932
"(37.5, 0)",1.354723027697947
"(37.5, 100)",1.2019369730816514
"(37.5, 120)",1.2602986164721142
"(37.5, 140)",1.3732093822135647
"(37.5, 160)",1.318990564459601
"(37.5, 180)",1.4283076873403775
"(37.5, 20)",1.3494986941263412
"(37.5, 40)",1.2526335388956062
"(37.5, 60)",1.188098598352343
"(37.5, 80)",1.2646832490963895
"(50.0, -100)",0.7676274231601432
"(50.0, -120)",0.7493756468793357
"(50.0, -140)",0.8724366038118906
"(50.0, -160)",0.9075774192422059
"(50.0, -180)",0.8370231061158756
"(50.0, -20)",0.9607748785604164
"(50.0, -40)",0.9100008795599154
"(50.0, -60)",0.8082364481077154
"(50.0, -80)",0.8256940958875398
"(50.0, 0)",0.9076162295166456
"(50.0, 100)",0.8080035422271381
"(50.0, 120)",0.8221548340399603
"(50.0, 140)",0.8175927218343507
"(50.0, 160)",0.9420103174601296
"(50.0, 180)",0.8862973294013706
"(50.0, 20)",0.881332887339735
"(50.0, 40)",0.8373654815664691
"(50.0, 60)",0.811256472082468
"(50.0, 80)",0.8237423543083997
"(62.5, -100)",0.8100628688745429
"(62.5, -120)",0.8039554744844936
"(62.5, -140)",0.7825772721758503
"(62.5, -160)",0.8841018634363105
"(62.5, -180)",0.7545841332976432
"(62.5, -20)",0.8177286498299768
"(62.5, -40)",0.7986551809208908
"(62.5, -60)",0.7704312446986227
"(62.5, -80)",0.9197344041094473
"(62.5, 0)",0.7270639476564167
"(62.5, 100)",0.7256406525928668
"(62.5, 120)",0.6627694725646629
"(62.5, 140)",0.6701324781070034
"(62.5, 160)",0.7183955893151405
"(62.5, 180)",0.7859144177039135
"(62.5, 20)",0.6986837033190092
"(62.5, 40)",0.7282873450016357
"(62.5, 60)",0.7379652784453291
"(62.5, 80)",0.7380487876060927
"(75.0, -100)",0.827774478685496
"(75.0, -120)",0.8667747055888092
"(75.0, -140)",0.7828977186243651
"(75.0, -160)",0.7837230815708887
"(75.0, -180)",0.8034364712544851
"(75.0, -20)",0.8015222489279554
"(75.0, -40)",0.7715119193162852
"(75.0, -60)",0.7218832615593188
"(75.0, -80)",0.725438296006319
"(75.0, 0)",0.6898978242849846
"(75.0, 100)",0.8096197302772368
"(75.0, 120)",0.790485367829105
"(75.0, 140)",0.7781854840363288
"(75.0, 160)",0.8035938019851969
"(75.0, 180)",0.7961006943081914
"(75.0, 20)",0.7196030884950626
"(75.0, 40)",0.7408673791911148
"(75.0, 60)",0.7344737145406811
"(75.0, 80)",0.8146188711186619
"(87.5, -100)",0.9647129256829933
"(87.5, -120)",0.9338710844115177
"(87.5, -140)",0.8284521102442066
"(87.5, -160)",0.8339830366695743
"(87.5, -180)",0.8375933000884686
"(87.5, -20)",0.7862134536315386
"(87.5, -40)",0.7828242757231364
"(87.5, -60)",0.8235786374929924
"(87.5, -80)",0.8018604381973791
"(87.5, 0)",0.7807673443773909
"(87.5, 100)",0.8027563090556549
"(87.5, 120)",0.8243893566258608
"(87.5, 140)",1.0218484081503483
"(87.5, 160)",0.8027917134817351
"(87.5, 180)",0.821858290763577
"(87.5, 20)",0.8489256914113493
"(87.5, 40)",0.8391443919600551
"(87.5, 60)",0.8040580278146479
"(87.5, 80)",0.8004380508692028
"(-12.5, -100)",1.9735795500447038
